Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSMUSG00000050315	Synpo2	-20.081	2.730
ENSMUSG00000028399	Ptprd	-16.093	2.679
ENSMUSG00000044176	Spink10	-17.434	2.629
ENSMUSG00000021936	Mapk8	-12.356	2.602
ENSMUSG00000039988	Ankrd13c	-12.480	2.576
ENSMUSG00000018339	Gpx3	-46.547	2.550
ENSMUSG00000046958	4930432E11Rik	-11.253	2.550
ENSMUSG00000112323	Gm32828	-39.605	2.546
ENSMUSG00000023927	Satb1	-14.467	2.534
ENSMUSG00000041912	Tdrkh	-70.599	2.527
ENSMUSG00000073664	Nbeal1	-22.141	2.522
ENSMUSG00000036768	Kif15	-14.361	2.515
ENSMUSG00000050891	Tatdn1	-12.616	2.483
ENSMUSG00000039033	Tasp1	-319.431	2.468
ENSMUSG00000075249	Fsip2	-25.416	2.446
ENSMUSG00000035131	Brinp3	-77.511	2.444
ENSMUSG00000051331	Cacna1c	-10.045	2.439
ENSMUSG00000028464	Tpm2	-16.493	2.425
ENSMUSG00000026017	Carf	-12.040	2.417
ENSMUSG00000025900	Rp1	-11.965	2.401
ENSMUSG00000109564	Muc16	-15.226	2.389
ENSMUSG00000090386	Mir99ahg	-15.226	2.389
ENSMUSG00000036257	Pnpla8	-9.505	2.363
ENSMUSG00000090625	Gm20721	-23.851	2.335
ENSMUSG00000023025	Larp4	-10.853	2.318
ENSMUSG00000035783	Acta2	-23.153	2.313
ENSMUSG00000032384	Csnk1g1	-32.208	2.312
ENSMUSG00000051747	Ttn	-31.675	2.312
ENSMUSG00000053279	Aldh1a1	-16.208	2.306
ENSMUSG00000015882	Lcorl	-14.757	2.306
ENSMUSG00000071415	Rpl23	-10.794	2.305
ENSMUSG00000015222	Map2	-9.686	2.277
ENSMUSG00000068922	Msto1	-25.232	2.277
ENSMUSG00000027520	Zdbf2	-10.150	2.265
ENSMUSG00000038122	Tbc1d32	-10.331	2.254
ENSMUSG00000109536	9330162G02Rik	-25.540	2.240
ENSMUSG00000025016	Tm9sf3	-10.976	2.235
ENSMUSG00000050074	Spink8	-24.086	2.235
ENSMUSG00000029154	Cwh43	-10.935	2.226
ENSMUSG00000111521	Gm48529	-13.735	2.217
ENSMUSG00000032826	Ank2	-16.340	2.216
ENSMUSG00000071179	Serpina16	-21.038	2.214
ENSMUSG00000031099	Smarca1	-16.299	2.210
ENSMUSG00000066232	Ipo7	-10.483	2.179
ENSMUSG00000034724	Cnot6l	-10.679	2.173
ENSMUSG00000028161	Ppp3ca	-11.324	2.161
ENSMUSG00000048960	Prex2	-8.517	2.155
ENSMUSG00000027189	Trim44	-9.165	2.142
ENSMUSG00000067367	Lyar	-9.811	2.130
ENSMUSG00000043154	Ppp2r3a	-9.811	2.130
ENSMUSG00000078578	Ube2d3	-20.241	2.127
ENSMUSG00000054640	Slc8a1	-11.324	2.112
ENSMUSG00000026565	Pou2f1	-11.301	2.108
ENSMUSG00000021745	Ptprg	-8.064	2.091
ENSMUSG00000034544	Rsrc1	-22.532	2.087
ENSMUSG00000068250	Amn1	-10.218	2.071
ENSMUSG00000038535	Zfp280d	-13.189	2.048
ENSMUSG00000058761	Rnf169	-8.928	2.028
ENSMUSG00000061244	Exoc5	-8.921	2.026
ENSMUSG00000008575	Nfib	-9.134	2.025
ENSMUSG00000031885	Cbfb	-11.700	2.017
ENSMUSG00000028273	Pdlim5	-12.760	2.014
ENSMUSG00000060802	B2m	-23.332	2.001
ENSMUSG00000099250	Rn7s2	-9.354	1.975
ENSMUSG00000032409	Atr	-9.134	1.975
ENSMUSG00000042284	Itga1	-8.491	1.974
ENSMUSG00000029309	Sparcl1	-8.491	1.974
ENSMUSG00000034007	Scaper	-94.093	1.965
ENSMUSG00000041702	Btbd7	-12.336	1.944
ENSMUSG00000061298	Agbl4	-10.210	1.935
ENSMUSG00000000600	Krit1	-10.210	1.935
ENSMUSG00000035919	Bbs9	-107.046	1.922
ENSMUSG00000025431	Crisp1	-112.441	1.903
ENSMUSG00000031626	Sorbs2	-15.534	1.903
ENSMUSG00000003131	Pafah1b2	-15.969	1.882
ENSMUSG00000032085	Tagln	-8.090	1.876
ENSMUSG00000040782	Cop1	-10.047	1.863
ENSMUSG00000073678	Pgap1	-8.561	1.844
ENSMUSG00000009575	Cbx5	-10.900	1.838
ENSMUSG00000019996	Map7	-7.073	1.818
ENSMUSG00000110333	Gm45861	-18.860	1.813
ENSMUSG00000067336	Bmpr2	-7.931	1.790
ENSMUSG00000024054	Smchd1	-9.043	1.780
ENSMUSG00000004364	Cul3	-9.043	1.780
ENSMUSG00000027778	Ift80	-7.302	1.777
ENSMUSG00000032221	Mns1	-7.302	1.777
ENSMUSG00000036792	Mbd5	-10.152	1.773
ENSMUSG00000048191	Muc6	-7.565	1.748
ENSMUSG00000042213	Zfand4	-7.565	1.748
ENSMUSG00000071337	Tia1	-7.532	1.740
ENSMUSG00000034574	Daam1	-18.388	1.723
ENSMUSG00000060176	Kif27	-6.710	1.722
ENSMUSG00000037395	Rcor3	-6.710	1.722
ENSMUSG00000038679	Trps1	-8.912	1.716
ENSMUSG00000040205	Cuzd1	-11.750	1.703
ENSMUSG00000053153	Spag16	-18.056	1.696
ENSMUSG00000001774	Chordc1	-8.064	1.693
ENSMUSG00000035236	Scai	-6.942	1.687
ENSMUSG00000029761	Cald1	-8.335	1.674
ENSMUSG00000027939	Nup210l	-6.832	1.656
ENSMUSG00000021557	Agtpbp1	-11.067	1.653
ENSMUSG00000018830	Myh11	-32.515	1.648
ENSMUSG00000057176	Ccdc189	-18.922	1.640
ENSMUSG00000031715	Smarca5	-6.221	1.633
ENSMUSG00000069601	Ank3	-11.803	1.632
ENSMUSG00000027763	Mbnl1	-10.739	1.629
ENSMUSG00000021081	Serpina1f	-17.908	1.629
ENSMUSG00000037815	Ctnna1	-8.233	1.617
ENSMUSG00000003617	Cp	-7.346	1.611
ENSMUSG00000032253	Phip	-17.392	1.608
ENSMUSG00000024317	Rnf138	-7.861	1.608
ENSMUSG00000032332	Col12a1	-8.513	1.605
ENSMUSG00000036641	Ccdc148	-12.635	1.587
ENSMUSG00000021870	Slmap	-15.935	1.583
ENSMUSG00000022108	Itm2b	-24.968	1.578
ENSMUSG00000022995	Enah	-15.860	1.574
ENSMUSG00000074146	4930579C12Rik	-8.144	1.565
ENSMUSG00000112318	Gm6721	-6.791	1.564
ENSMUSG00000027009	Itga4	-5.956	1.563
ENSMUSG00000064299	4921528I07Rik	-18.922	1.555
ENSMUSG00000031818	Cox4i1	-5.901	1.549
ENSMUSG00000053896	4933409G03Rik	-10.341	1.545
ENSMUSG00000019986	Ahi1	-6.717	1.541
ENSMUSG00000033411	Ctdspl2	-5.360	1.534
ENSMUSG00000027708	Dcun1d1	-9.751	1.528
ENSMUSG00000058019	Ces5a	-12.991	1.528
ENSMUSG00000096141	Dnah7a	-14.530	1.526
ENSMUSG00000001948	Spa17	-5.956	1.524
ENSMUSG00000034973	Dop1a	-8.354	1.512
ENSMUSG00000091844	Gm8251	-20.352	1.507
ENSMUSG00000056268	Dennd1b	-25.328	1.499
ENSMUSG00000070565	Rasal2	-7.766	1.490
ENSMUSG00000029629	Phf14	-9.742	1.480
ENSMUSG00000030498	Gas2	-6.126	1.480
ENSMUSG00000051674	Dcun1d4	-6.126	1.480
ENSMUSG00000041923	Nol4	-8.580	1.467
ENSMUSG00000042298	Ttc19	-5.603	1.465
ENSMUSG00000052273	Dnah3	-5.603	1.465
ENSMUSG00000073643	Wdfy1	-20.368	1.461
ENSMUSG00000028637	Ccdc30	-6.655	1.457
ENSMUSG00000060771	Tsga10	-8.061	1.457
ENSMUSG00000029203	Ube2k	-9.916	1.457
ENSMUSG00000017707	Serinc3	-6.948	1.454
ENSMUSG00000089872	Rps6kc1	-6.948	1.454
ENSMUSG00000020728	Cep112	-11.830	1.446
ENSMUSG00000053477	Tcf4	-5.838	1.445
ENSMUSG00000019699	Akt3	-13.114	1.439
ENSMUSG00000027070	Lrp2	-7.193	1.436
ENSMUSG00000000682	Cd52	-13.919	1.436
ENSMUSG00000024759	Atl3	-18.964	1.434
ENSMUSG00000001833	Sept7	-5.305	1.432
ENSMUSG00000064138	Fam172a	-6.072	1.428
ENSMUSG00000030172	Erc1	-12.870	1.428
ENSMUSG00000030077	Chl1	-11.492	1.423
ENSMUSG00000031644	Nek1	-8.309	1.419
ENSMUSG00000030301	Ccdc91	-20.008	1.416
ENSMUSG00000028522	Mier1	-4.961	1.413
ENSMUSG00000026103	Gls	-4.961	1.413
ENSMUSG00000035765	Dym	-5.261	1.412
ENSMUSG00000099021	Rn7s1	-9.128	1.408
ENSMUSG00000038126	Mphosph9	-8.309	1.398
ENSMUSG00000057406	Nsd2	-6.093	1.396
ENSMUSG00000026915	Strbp	-8.565	1.388
ENSMUSG00000052387	Trpm3	-7.217	1.385
ENSMUSG00000038388	Mpp6	-5.561	1.379
ENSMUSG00000046111	Cep295	-7.448	1.373
ENSMUSG00000026490	Cdc42bpa	-7.152	1.372
ENSMUSG00000022332	Khdrbs3	-6.425	1.370
ENSMUSG00000026594	Ralgps2	-6.126	1.368
ENSMUSG00000026585	Kifap3	-8.532	1.359
ENSMUSG00000112826	Gm1559	-6.357	1.356
ENSMUSG00000020694	Tlk2	-10.918	1.353
ENSMUSG00000005045	Chd5	-14.682	1.350
ENSMUSG00000029655	N4bp2l2	-5.295	1.347
ENSMUSG00000111734	Gm29825	-8.007	1.345
ENSMUSG00000030465	Psd3	-6.589	1.344
ENSMUSG00000034731	Dgkh	-4.993	1.343
ENSMUSG00000030660	Pik3c2a	-4.691	1.338
ENSMUSG00000059291	Rpl11	-4.691	1.338
ENSMUSG00000029131	Dnajb6	-11.769	1.338
ENSMUSG00000012126	Ubxn11	-10.433	1.330
ENSMUSG00000032743	D430042O09Rik	-14.734	1.324
ENSMUSG00000005886	Ncoa2	-12.888	1.322
ENSMUSG00000074771	Ankef1	-12.207	1.311
ENSMUSG00000051910	Sox6	-4.737	1.309
ENSMUSG00000020900	Myh10	-6.975	1.309
ENSMUSG00000024576	Csnk1a1	-5.270	1.303
ENSMUSG00000026361	Cdc73	-6.379	1.300
ENSMUSG00000022037	Clu	-6.906	1.296
ENSMUSG00000025290	Rps24	-6.081	1.294
ENSMUSG00000033769	Exoc6b	-4.505	1.288
ENSMUSG00000055817	Mta3	-4.505	1.288
ENSMUSG00000025809	Itgb1	-4.505	1.288
ENSMUSG00000022811	Zfp148	-7.500	1.285
ENSMUSG00000033981	Gria2	-4.491	1.276
ENSMUSG00000002985	Apoe	-9.327	1.272
ENSMUSG00000039716	Dock3	-7.709	1.271
ENSMUSG00000038774	Ascc3	-6.081	1.270
ENSMUSG00000026721	Rabgap1l	-5.539	1.262
ENSMUSG00000029769	Ccdc136	-49.643	1.253
ENSMUSG00000053819	Camk2d	-6.662	1.253
ENSMUSG00000037627	Rgs22	-6.662	1.253
ENSMUSG00000002835	Chaf1a	-7.470	1.253
ENSMUSG00000061130	Ppm1b	-9.666	1.247
ENSMUSG00000057132	Rpgrip1	-7.173	1.246
ENSMUSG00000057440	Mpp7	-6.651	1.246
ENSMUSG00000060938	Rpl26	-6.364	1.246
ENSMUSG00000047141	Zfp654	-5.312	1.245
ENSMUSG00000051435	Fhad1	-9.089	1.242
ENSMUSG00000021096	Ppm1a	-12.181	1.239
ENSMUSG00000064351	mt-Co1	-57.318	1.234
ENSMUSG00000032399	Rpl4	-9.658	1.230
ENSMUSG00000026554	Dcaf8	-7.460	1.229
ENSMUSG00000025326	Ube3a	-7.820	1.225
ENSMUSG00000019852	Arfgef3	-4.711	1.225
ENSMUSG00000048249	Crebrf	-9.078	1.223
ENSMUSG00000004319	Clcn3	-4.181	1.222
ENSMUSG00000036371	Serbp1	-7.230	1.211
ENSMUSG00000040929	Rfx3	-13.191	1.209
ENSMUSG00000074749	Kiz	-4.780	1.208
ENSMUSG00000026014	Raph1	-5.379	1.205
ENSMUSG00000022255	Mtdh	-5.898	1.202
ENSMUSG00000033237	Arid2	-3.953	1.198
ENSMUSG00000027676	Ccdc39	-3.953	1.198
ENSMUSG00000041763	Tpp2	-3.953	1.198
ENSMUSG00000028426	Rad23b	-7.006	1.194
ENSMUSG00000027799	Nbea	-8.108	1.192
ENSMUSG00000011831	Evi5	-3.954	1.190
ENSMUSG00000038587	Akap12	-99.009	1.177
ENSMUSG00000029227	Fip1l1	-4.781	1.175
ENSMUSG00000039068	Zzz3	-4.255	1.174
ENSMUSG00000033306	Lpp	-10.579	1.170
ENSMUSG00000039652	Cpeb3	-6.787	1.159
ENSMUSG00000019978	Epb41l2	-7.007	1.156
ENSMUSG00000022708	Zbtb20	-10.813	1.154
ENSMUSG00000042302	Ehbp1	-4.563	1.149
ENSMUSG00000003824	Syce2	-7.303	1.145
ENSMUSG00000064337	mt-Rnr1	-60.936	1.138
ENSMUSG00000086968	4933431E20Rik	-7.600	1.136
ENSMUSG00000027523	Gnas	-4.868	1.135
ENSMUSG00000033319	Fem1c	-5.686	1.132
ENSMUSG00000041650	Pcca	-4.343	1.129
ENSMUSG00000028693	Nasp	-6.356	1.129
ENSMUSG00000032366	Tpm1	-7.897	1.128
ENSMUSG00000028080	Lrba	-7.897	1.128
ENSMUSG00000041144	Dnah7b	-4.045	1.112
ENSMUSG00000063810	Alms1	-5.554	1.109
ENSMUSG00000002107	Celf2	-3.436	1.107
ENSMUSG00000008763	Man1a2	-3.528	1.097
ENSMUSG00000019802	Sec63	-3.825	1.089
ENSMUSG00000031647	Mfap3l	-11.836	1.089
ENSMUSG00000011179	Odc1	-5.782	1.086
ENSMUSG00000023923	Tbc1d5	-8.005	1.082
ENSMUSG00000040325	Dcaf1	-3.936	1.079
ENSMUSG00000037110	Ralgapa2	-4.151	1.076
ENSMUSG00000026523	Wdr64	-4.151	1.076
ENSMUSG00000068039	Tcp1	-3.230	1.075
ENSMUSG00000033577	Myo6	-4.461	1.068
ENSMUSG00000037416	Dmxl1	-7.087	1.061
ENSMUSG00000005893	Nr2c2	-3.956	1.052
ENSMUSG00000004347	Pde1c	-5.386	1.051
ENSMUSG00000020608	Smc6	-4.170	1.050
ENSMUSG00000029922	Mkrn1	-4.789	1.040
ENSMUSG00000008813	Tppp2	-6.609	1.037
ENSMUSG00000040451	Sgms1	-9.616	1.032
ENSMUSG00000059005	Hnrnpa3	-3.665	1.032
ENSMUSG00000022641	Bbx	-5.712	1.030
ENSMUSG00000001280	Sp1	-4.056	1.026
ENSMUSG00000012609	Ttll5	-6.705	1.023
ENSMUSG00000028096	Gpr89	-5.218	1.017
ENSMUSG00000097125	Gm26885	-3.058	1.011
ENSMUSG00000020745	Pafah1b1	-3.350	1.009
ENSMUSG00000028730	Cfap57	-3.978	1.005
ENSMUSG00000038762	Abcf1	-3.978	1.005
ENSMUSG00000027304	Rtf1	-4.080	1.004
ENSMUSG00000037652	Phc3	-4.080	1.004
ENSMUSG00000027562	Car2	-4.804	1.001
ENSMUSG00000035851	Ythdc1	-4.804	1.001
ENSMUSG00000025757	Hspa4l	-5.113	1.000
ENSMUSG00000001089	Luzp1	-6.962	0.985
ENSMUSG00000037075	Rnf139	-4.624	0.984
ENSMUSG00000061136	Prpf40a	-3.689	0.983
ENSMUSG00000097039	Pvt1	-3.271	0.983
ENSMUSG00000013822	Elof1	-3.164	0.983
ENSMUSG00000064339	mt-Rnr2	-110.636	0.982
ENSMUSG00000024542	Cep192	-5.911	0.960
ENSMUSG00000001211	Agpat3	-2.985	0.956
ENSMUSG00000030659	Nucb2	-2.985	0.956
ENSMUSG00000041417	Pik3r1	-2.954	0.955
ENSMUSG00000027184	Caprin1	-4.963	0.954
ENSMUSG00000018548	Trim37	-2.875	0.954
ENSMUSG00000061665	Cd2ap	-3.755	0.944
ENSMUSG00000038015	Prm2	-24.413	0.943
ENSMUSG00000032096	Arcn1	-3.332	0.938
ENSMUSG00000079324	4932414N04Rik	-8.671	0.937
ENSMUSG00000041453	Rpl21	-5.741	0.935
ENSMUSG00000038664	Herc1	-12.340	0.927
ENSMUSG00000053111	Fank1	-2.700	0.926
ENSMUSG00000040838	Gm11639	-2.496	0.924
ENSMUSG00000037386	Rims2	-5.467	0.921
ENSMUSG00000037286	Stag1	-3.443	0.920
ENSMUSG00000026790	Odf2	-22.629	0.915
ENSMUSG00000056763	Cspp1	-4.887	0.914
ENSMUSG00000058997	Vwa8	-6.102	0.914
ENSMUSG00000046230	Vps13a	-3.050	0.911
ENSMUSG00000073557	Ppp1r12b	-2.813	0.905
ENSMUSG00000031727	Pmfbp1	-3.476	0.901
ENSMUSG00000058006	Mdn1	-4.043	0.901
ENSMUSG00000074212	Dnajb14	-4.691	0.899
ENSMUSG00000022142	Nup155	-3.276	0.899
ENSMUSG00000044581	4932415D10Rik	-3.735	0.895
ENSMUSG00000066037	Hnrnpr	-3.623	0.890
ENSMUSG00000062270	Morf4l1	-3.426	0.887
ENSMUSG00000031960	Aars	-2.649	0.880
ENSMUSG00000044042	Fmn1	-8.793	0.874
ENSMUSG00000032423	Syncrip	-3.463	0.872
ENSMUSG00000055561	Spink5	-3.884	0.869
ENSMUSG00000061983	Rps12	-4.263	0.867
ENSMUSG00000037742	Eef1a1	-7.492	0.866
ENSMUSG00000035623	Rsf1	-3.577	0.860
ENSMUSG00000059495	Arhgef12	-4.376	0.858
ENSMUSG00000037174	Elf2	-5.127	0.856
ENSMUSG00000048039	Isg20l2	-2.492	0.856
ENSMUSG00000026254	Eif4e2	-2.413	0.851
ENSMUSG00000026740	Dnajc1	-2.844	0.851
ENSMUSG00000061533	Cep128	-7.817	0.850
ENSMUSG00000026933	Camsap1	-3.807	0.844
ENSMUSG00000001558	Klhl10	-7.704	0.844
ENSMUSG00000027309	4930402H24Rik	-2.726	0.842
ENSMUSG00000025609	Mkln1	-3.347	0.840
ENSMUSG00000025958	Creb1	-2.177	0.840
ENSMUSG00000000127	Fer	-4.716	0.838
ENSMUSG00000044252	Osbpl1a	-2.532	0.837
ENSMUSG00000071454	Dtnb	-5.792	0.835
ENSMUSG00000022812	Gsk3b	-2.253	0.834
ENSMUSG00000039530	Tusc3	-2.341	0.831
ENSMUSG00000003119	Cdk12	-5.479	0.824
ENSMUSG00000007907	Cabs1	-5.416	0.820
ENSMUSG00000028745	Capzb	-2.220	0.820
ENSMUSG00000031010	Usp9x	-2.574	0.819
ENSMUSG00000028572	Hook1	-2.574	0.819
ENSMUSG00000024566	Atp9b	-4.621	0.818
ENSMUSG00000028456	Unc13b	-2.384	0.814
ENSMUSG00000030180	Kdm5a	-2.384	0.814
ENSMUSG00000059439	Bcas3	-2.029	0.813
ENSMUSG00000058230	Arhgap35	-2.029	0.813
ENSMUSG00000041297	Cdk13	-3.241	0.811
ENSMUSG00000033444	Specc1l	-2.693	0.809
ENSMUSG00000045128	Rpl18a	-2.454	0.808
ENSMUSG00000048000	Gigyf2	-3.857	0.802
ENSMUSG00000028484	Psip1	-2.263	0.801
ENSMUSG00000023944	Hsp90ab1	-4.508	0.799
ENSMUSG00000042197	Zfp451	-2.074	0.794
ENSMUSG00000027867	Spag17	-2.591	0.794
ENSMUSG00000024589	Nedd4l	-2.547	0.789
ENSMUSG00000059981	Taok2	-2.306	0.784
ENSMUSG00000032412	Atp1b3	-3.141	0.783
ENSMUSG00000021938	Pspc1	-2.471	0.782
ENSMUSG00000024974	Smc3	-3.758	0.780
ENSMUSG00000055204	Ankrd17	-3.917	0.779
ENSMUSG00000095041	AC149090.1	-4.236	0.770
ENSMUSG00000048206	Dnajb8	-2.241	0.769
ENSMUSG00000028416	Bag1	-3.579	0.763
ENSMUSG00000033632	AW554918	-2.332	0.762
ENSMUSG00000037234	Hook3	-3.665	0.759
ENSMUSG00000022307	Oxr1	-3.782	0.755
ENSMUSG00000032534	Cep63	-1.982	0.753
ENSMUSG00000055891	Ubl4b	-1.811	0.752
ENSMUSG00000020964	Sel1l	-1.811	0.752
ENSMUSG00000024359	Hspa9	-1.811	0.752
ENSMUSG00000023764	Sfi1	-1.811	0.752
ENSMUSG00000022285	Ywhaz	-1.935	0.745
ENSMUSG00000038127	Ccdc50	-2.945	0.743
ENSMUSG00000004032	Gstm5	-8.324	0.738
ENSMUSG00000021218	Gdi2	-1.982	0.730
ENSMUSG00000000804	Usp32	-3.405	0.722
ENSMUSG00000056770	Setd3	-2.872	0.722
ENSMUSG00000022914	Brwd1	-4.702	0.720
ENSMUSG00000022246	Rai14	-2.190	0.718
ENSMUSG00000028758	Kif17	-3.450	0.715
ENSMUSG00000026473	Glul	-2.789	0.713
ENSMUSG00000041596	Nlrp5-ps	-1.727	0.711
ENSMUSG00000047021	Cfap65	-3.117	0.707
ENSMUSG00000043241	Upf2	-3.436	0.701
ENSMUSG00000037270	4932438A13Rik	-3.734	0.700
ENSMUSG00000022283	Pabpc1	-2.789	0.699
ENSMUSG00000051728	Fam243	-3.491	0.698
ENSMUSG00000052698	Tln2	-2.499	0.694
ENSMUSG00000053333	Dis3l2	-2.618	0.692
ENSMUSG00000044340	Phlpp1	-4.048	0.688
ENSMUSG00000030557	Mef2a	-2.332	0.688
ENSMUSG00000034252	Senp6	-1.725	0.685
ENSMUSG00000029202	Pds5a	-1.725	0.685
ENSMUSG00000024290	Rock1	-2.991	0.681
ENSMUSG00000028487	Bnc2	-1.551	0.675
ENSMUSG00000028706	Nsun4	-1.775	0.674
ENSMUSG00000021709	Erbin	-1.774	0.673
ENSMUSG00000039298	Cdk5rap2	-2.211	0.671
ENSMUSG00000030126	Tmcc1	-2.331	0.671
ENSMUSG00000022836	Mylk	-3.293	0.669
ENSMUSG00000031452	1700029H14Rik	-2.710	0.664
ENSMUSG00000027680	Fxr1	-2.804	0.652
ENSMUSG00000058318	Phf21a	-1.925	0.645
ENSMUSG00000026743	Mllt10	-1.876	0.635
ENSMUSG00000036501	Fam13b	-1.876	0.635
ENSMUSG00000042133	Ppig	-1.533	0.628
ENSMUSG00000018796	Acsl1	-9.061	0.626
ENSMUSG00000021097	Clmn	-3.685	0.621
ENSMUSG00000074746	Pdzd8	-3.889	0.618
ENSMUSG00000059834	Sclt1	-1.763	0.617
ENSMUSG00000051586	Mical3	-2.205	0.615
